Слово,Частота,Частота (в %)
могла,97,"0,042%"
жизнь,97,"0,042%"
тебя,97,"0,042%"
лице,96,"0,042%"
государя,96,"0,042%"
пьеру,95,"0,042%"
чувство,94,"0,041%"
генерал,94,"0,041%"
свой,93,"0,041%"
совсем,93,"0,041%"
обратился,93,"0,041%"
стоял,93,"0,041%"
совершенно,93,"0,041%"
чтоб,92,"0,040%"
одна,92,"0,040%"
дома,91,"0,040%"
долго,91,"0,040%"
комнаты,90,"0,039%"
хотя,89,"0,039%"
двери,89,"0,039%"
сделать,89,"0,039%"
видно,89,"0,039%"
lle,88,"0,038%"
такое,88,"0,038%"
ne,87,"0,038%"
видеть,86,"0,038%"
отец,86,"0,038%"
какой,86,"0,038%"
давно,86,"0,038%"
дверь,86,"0,038%"
комнату,86,"0,038%"
ту,86,"0,038%"
своем,86,"0,038%"
un,85,"0,037%"
одного,85,"0,037%"
всю,85,"0,037%"
pas,85,"0,037%"
этим,85,"0,037%"
прямо,84,"0,037%"
знаете,84,"0,037%"
bourienne,84,"0,037%"
очевидно,84,"0,037%"
такой,84,"0,037%"
сейчас,83,"0,036%"
павловна,83,"0,036%"
пошел,83,"0,036%"
моя,83,"0,036%"
одной,83,"0,036%"
те,83,"0,036%"
которым,83,"0,036%"
приехал,83,"0,036%"
друга,83,"0,036%"
продолжал,83,"0,036%"
первый,83,"0,036%"
сделал,82,"0,036%"
кого,82,"0,036%"
дела,82,"0,036%"
чувствовал,81,"0,035%"
куда,81,"0,035%"
голосом,81,"0,035%"
сидел,80,"0,035%"
москве,80,"0,035%"
денисова,80,"0,035%"
можно,80,"0,035%"
никто,80,"0,035%"
собой,80,"0,035%"
своими,79,"0,035%"
комнате,79,"0,035%"
той,79,"0,035%"
нынче,79,"0,035%"
ce,78,"0,034%"
впереди,78,"0,034%"
сына,78,"0,034%"
nous,78,"0,034%"
почти,77,"0,034%"
проговорил,77,"0,034%"
весело,77,"0,034%"
против,77,"0,034%"
закричал,77,"0,034%"
c,76,"0,033%"
молодой,76,"0,033%"
своему,76,"0,033%"
делать,76,"0,033%"
d,75,"0,033%"
сын,75,"0,033%"
три,75,"0,033%"
une,75,"0,033%"
времени,74,"0,032%"
лицом,74,"0,032%"
милый,74,"0,032%"
андрею,73,"0,032%"
бог,73,"0,032%"
нам,73,"0,032%"
тотчас,73,"0,032%"
вошел,73,"0,032%"
глаз,72,"0,031%"
солдаты,72,"0,031%"
ко,72,"0,031%"
люблю,72,"0,031%"
зачем,72,"0,031%"
ростовых,72,"0,031%"
багратион,72,"0,031%"
таким,72,"0,031%"
войска,71,"0,031%"
выражение,71,"0,031%"
думала,71,"0,031%"
остановился,71,"0,031%"
другие,71,"0,031%"
голоса,70,"0,031%"
pour,70,"0,031%"
лошади,70,"0,031%"
ростову,70,"0,031%"
болконский,69,"0,030%"
весь,69,"0,030%"
руками,69,"0,030%"
ехать,69,"0,030%"
лучше,69,"0,030%"
стали,68,"0,030%"
княжны,68,"0,030%"
qui,68,"0,030%"
подле,68,"0,030%"
бориса,68,"0,030%"
ma,67,"0,029%"
армии,67,"0,029%"
двух,67,"0,029%"
знает,67,"0,029%"
быстро,66,"0,029%"
если,66,"0,029%"
старик,66,"0,029%"
других,66,"0,029%"
мимо,65,"0,028%"
наконец,65,"0,028%"
наташу,65,"0,028%"
вся,65,"0,028%"
минуты,65,"0,028%"
часто,65,"0,028%"
доме,65,"0,028%"
улыбнулся,65,"0,028%"
en,64,"0,028%"
говорит,64,"0,028%"
долохова,64,"0,028%"
обращаясь,64,"0,028%"
наташе,64,"0,028%"
около,64,"0,028%"
увидал,64,"0,028%"
ясно,64,"0,028%"
n,63,"0,028%"
слишком,63,"0,028%"
отчего,63,"0,028%"
кажется,63,"0,028%"
взял,63,"0,028%"
гостиной,63,"0,028%"
поехал,63,"0,028%"
думаю,62,"0,027%"
каждый,62,"0,027%"
точно,62,"0,027%"
слово,62,"0,027%"
des,62,"0,027%"
стало,62,"0,027%"
знать,62,"0,027%"
мать,61,"0,027%"
берг,61,"0,027%"
стояли,61,"0,027%"
должно,61,"0,027%"
прибавил,60,"0,026%"
андреич,60,"0,026%"
крикнул,60,"0,026%"
молча,60,"0,026%"
головой,60,"0,026%"
буду,59,"0,026%"
та,59,"0,026%"
место,59,"0,026%"
стороны,59,"0,026%"
французов,59,"0,026%"
две,58,"0,025%"
дня,58,"0,025%"
стала,58,"0,025%"
ноги,58,"0,025%"
пор,57,"0,025%"
императора,57,"0,025%"
любви,57,"0,025%"
разве,57,"0,025%"
видом,57,"0,025%"
какое,56,"0,024%"
этому,56,"0,024%"
наташи,56,"0,024%"
завтра,56,"0,024%"
тяжело,56,"0,024%"
скоро,56,"0,024%"
кутузова,56,"0,024%"
матери,55,"0,024%"
du,55,"0,024%"
года,55,"0,024%"
сама,55,"0,024%"
дать,55,"0,024%"
выражением,55,"0,024%"
увидав,55,"0,024%"
всей,55,"0,024%"
бонапарте,55,"0,024%"
невольно,55,"0,024%"
иногда,54,"0,024%"
указывая,54,"0,024%"
mais,54,"0,024%"
несвицкий,54,"0,024%"
какая,54,"0,024%"
гостей,54,"0,024%"
кричал,54,"0,024%"
полк,54,"0,024%"
право,54,"0,024%"
начал,54,"0,024%"
рукой,53,"0,023%"
говорят,53,"0,023%"
жюли,53,"0,023%"
знала,53,"0,023%"
тихо,53,"0,023%"
командир,53,"0,023%"
вечер,53,"0,023%"
видела,52,"0,023%"
qu,52,"0,023%"
посмотрел,52,"0,023%"
знаешь,52,"0,023%"
брат,52,"0,023%"
дядюшка,52,"0,023%"
